Tue Feb 13 16:01:23 2024    ./cprof/search/output0.pstats

         325631095 function calls (325631079 primitive calls) in 158.565 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  158.565  158.565 {built-in method builtins.exec}
        1    0.000    0.000  158.565  158.565 <string>:1(<module>)
        1    0.000    0.000  158.565  158.565 /home/mmr.pinto/search.py:73(torcStart)
        1    0.000    0.000  158.565  158.565 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:753(start)
        1    0.422    0.422  158.534  158.534 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:706(launch)
        1    2.314    2.314  158.112  158.112 /home/mmr.pinto/search.py:28(searchTest)
        1    0.000    0.000  155.798  155.798 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:910(search)
        1    0.000    0.000  155.310  155.310 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:378(waitall)
        1    0.027    0.027  155.279  155.279 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:276(_do_work)
        1   15.534   15.534  155.252  155.252 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:948(searchSubmitted)
 10000000   69.181    0.000  106.346    0.000 /home/mmr.pinto/search.py:9(fun)
285629736   37.165    0.000   37.165    0.000 {built-in method time.time}
 10000001   13.723    0.000   13.723    0.000 {method 'Iprobe' of 'mpi4py.MPI.Comm' objects}
        1   13.074   13.074   13.074   13.074 {method 'gather' of 'mpi4py.MPI.Comm' objects}
        1    2.323    2.323    2.323    2.323 {method 'scatter' of 'mpi4py.MPI.Comm' objects}
 10000000    2.297    0.000    2.297    0.000 /home/mmr.pinto/search.py:24(transform)
 10000069    1.347    0.000    1.347    0.000 {built-in method builtins.len}
        1    0.609    0.609    0.609    0.609 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:957(<listcomp>)
       16    0.000    0.000    0.488    0.031 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:157(submit)
       31    0.488    0.016    0.488    0.016 {method 'send' of 'mpi4py.MPI.Comm' objects}
       15    0.000    0.000    0.487    0.032 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:130(_send_desc_and_data)
        4    0.000    0.000    0.031    0.008 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:344(dequeue)
        4    0.030    0.008    0.030    0.008 {built-in method time.sleep}
        1    0.000    0.000    0.030    0.030 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:670(finalize)
        3    0.020    0.007    0.020    0.007 {method 'barrier' of 'mpi4py.MPI.Comm' objects}
       61    0.010    0.000    0.010    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.9/threading.py:1001(join)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.9/threading.py:1039(_wait_for_tstate_lock)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:595(init)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1444(warning)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1561(_log)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/termcolor/termcolor.py:174(cprint)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.9/queue.py:154(get)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1587(handle)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1641(callHandlers)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:660(_print_stats)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:935(handle)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1067(emit)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:855(start)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:648(_terminate_nodes)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/termcolor/termcolor.py:129(colored)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/termcolor/termcolor.py:100(_can_do_colour)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:912(format)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/coloredlogs/__init__.py:1095(format)
