Tue Feb 13 16:01:23 2024    ./cprof/searchNoTorc/output0.pstats

         362788845 function calls in 136.353 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  136.353  136.353 {built-in method builtins.exec}
        1    0.453    0.453  136.353  136.353 <string>:1(<module>)
        1    4.072    4.072  135.900  135.900 /home/mmr.pinto/searchNoTorc.py:113(main)
        1   13.569   13.569  131.829  131.829 /home/mmr.pinto/searchNoTorc.py:38(search_array_parallel)
 10000000   69.784    0.000  105.283    0.000 /home/mmr.pinto/searchNoTorc.py:12(fun)
322788824   35.500    0.000   35.500    0.000 {built-in method time.time}
 10000001    5.648    0.000    5.648    0.000 {method 'Iprobe' of 'mpi4py.MPI.Comm' objects}
        1    2.396    2.396    2.396    2.396 {method 'scatter' of 'mpi4py.MPI.Comm' objects}
 10000000    1.729    0.000    1.729    0.000 /home/mmr.pinto/searchNoTorc.py:27(transform)
 10000003    1.308    0.000    1.308    0.000 {built-in method builtins.len}
        1    1.287    1.287    1.287    1.287 {method 'gather' of 'mpi4py.MPI.Comm' objects}
        1    0.608    0.608    0.608    0.608 /home/mmr.pinto/searchNoTorc.py:50(<listcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 {method 'Get_rank' of 'mpi4py.MPI.Comm' objects}
        1    0.000    0.000    0.000    0.000 {method 'Get_size' of 'mpi4py.MPI.Comm' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}


