Tue Feb 13 16:01:22 2024    ./cprof/searchTorcMap/output0.pstats

         353356175 function calls (353356159 primitive calls) in 119.317 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  119.317  119.317 {built-in method builtins.exec}
        1    0.000    0.000  119.317  119.317 <string>:1(<module>)
        1    0.000    0.000  119.317  119.317 /home/mmr.pinto/searchTorcMap.py:115(torcStart)
        1    0.000    0.000  119.317  119.317 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:753(start)
        1    0.878    0.878  119.289  119.289 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:706(launch)
        1    2.283    2.283  118.410  118.410 /home/mmr.pinto/searchTorcMap.py:64(main)
        1    0.000    0.000  114.948  114.948 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:832(map)
        1    0.000    0.000  110.989  110.989 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:378(waitall)
        1    0.000    0.000  110.540  110.540 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:276(_do_work)
        1    4.172    4.172  110.539  110.539 /home/mmr.pinto/searchTorcMap.py:36(search_array)
 10000000   68.660    0.000  104.725    0.000 /home/mmr.pinto/searchTorcMap.py:10(fun)
333350552   36.065    0.000   36.065    0.000 {built-in method time.time}
       16    0.001    0.000    3.959    0.247 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:157(submit)
       31    2.216    0.071    2.216    0.071 {method 'send' of 'mpi4py.MPI.Comm' objects}
       15    0.000    0.000    2.215    0.148 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:130(_send_desc_and_data)
       33    1.104    0.033    1.743    0.053 /usr/lib/python3.9/copy.py:66(copy)
 10000000    1.642    0.000    1.642    0.000 /home/mmr.pinto/searchTorcMap.py:25(transform)
        1    0.080    0.080    0.676    0.676 /home/mmr.pinto/searchTorcMap.py:57(subArray)
       16    0.638    0.040    0.638    0.040 {method 'copy' of 'list' objects}
        1    0.596    0.596    0.596    0.596 /home/mmr.pinto/searchTorcMap.py:60(<listcomp>)
       16    0.503    0.031    0.503    0.031 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:147(__del__)
       45    0.001    0.000    0.449    0.010 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:344(dequeue)
       45    0.444    0.010    0.444    0.010 {built-in method time.sleep}
        1    0.000    0.000    0.027    0.027 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:670(finalize)
        3    0.017    0.006    0.017    0.006 {method 'barrier' of 'mpi4py.MPI.Comm' objects}
      102    0.010    0.000    0.010    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.9/threading.py:1001(join)
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.9/threading.py:1039(_wait_for_tstate_lock)
      485    0.002    0.000    0.004    0.000 /usr/lib/python3.9/queue.py:154(get)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:595(init)
      487    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:256(__enter__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1444(warning)
      487    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:259(__exit__)
      485    0.000    0.000    0.000    0.000 /usr/lib/python3.9/queue.py:209(_qsize)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1561(_log)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1587(handle)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1641(callHandlers)
      969    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:935(handle)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1067(emit)
       96    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:105(num_nodes)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:855(start)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:912(format)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/coloredlogs/__init__.py:1095(format)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/termcolor/termcolor.py:174(cprint)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:648(_terminate_nodes)
      487    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      505    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/termcolor/termcolor.py:129(colored)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:660(_print_stats)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/termcolor/termcolor.py:100(_can_do_colour)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/humanfriendly/terminal/__init__.py:277(ansi_wrap)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/humanfriendly/terminal/__init__.py:166(ansi_style)
      489    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       48    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:125(num_workers)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:556(wait)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1546(makeRecord)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:280(wait)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       96    0.000    0.000    0.000    0.000 {method 'Get_size' of 'mpi4py.MPI.Comm' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:278(__init__)
       38    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:100(node_id)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:338(enqueue)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.9/os.py:674(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/queue.py:122(put)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/abc.py:96(__instancecheck__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:777(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       97    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
     10/2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/abc.py:100(__subclasscheck__)
     10/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.9/_collections_abc.py:759(get)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.9/_collections_abc.py:766(__contains__)
       16    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:135(__init__)
       49    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       39    0.000    0.000    0.000    0.000 {method 'Get_rank' of 'mpi4py.MPI.Comm' objects}
       33    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/os.py:771(getenv)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:646(format)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:351(notify)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:966(_stop)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1510(findCaller)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.9/os.py:754(encode)
        2    0.000    0.000    0.000    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1685(isEnabledFor)
       16    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/ctypes/__init__.py:509(cast)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:521(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1056(flush)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/posixpath.py:140(basename)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:271(_is_owned)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/posixpath.py:117(splitext)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:1318(current_thread)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/queue.py:213(_put)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:630(formatMessage)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/coloredlogs/__init__.py:1516(get)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:624(usesTime)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/queue.py:217(_get)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:228(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:428(format)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       16    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:144(result)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/os.py:758(decode)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:425(_format)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/genericpath.py:121(_splitext)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/coloredlogs/__init__.py:1477(normalize_name)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:417(usesTime)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:892(acquire)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:156(<lambda>)
       16    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:115(num_local_workers)
       19    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/posixpath.py:41(_get_sep)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/_weakrefset.py:82(add)
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:119(getLevelName)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/humanfriendly/compat.py:101(coerce_string)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:214(_acquireLock)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:899(release)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/posixpath.py:52(normcase)
        6    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:223(_releaseLock)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:787(filter)
        2    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        4    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:750(_newname)
        6    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:1189(_make_invoke_excepthook)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/humanfriendly/compat.py:111(is_string)
        2    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/humanfriendly/terminal/__init__.py:225(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:1053(name)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:354(getMessage)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:265(_release_save)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:268(_acquire_restore)
        2    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1671(getEffectiveLevel)
        2    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        5    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:1107(daemon)
        1    0.000    0.000    0.000    0.000 {mpi4py.MPI.Query_thread}
        2    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1272(disable)
        1    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:529(is_set)
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/copy.py:107(_copy_immutable)
        1    0.000    0.000    0.000    0.000 {method 'locked' of '_thread.lock' objects}


