Tue Feb 13 16:01:21 2024    ./cprof/stencilTorcMap/output0.pstats

         56252177 function calls (56252113 primitive calls) in 102.495 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  102.495  102.495 {built-in method builtins.exec}
        1    0.000    0.000  102.495  102.495 <string>:1(<module>)
        1    0.000    0.000  102.495  102.495 /home/mmr.pinto/stencilTorcMap.py:145(torcStart)
        1    0.000    0.000  102.495  102.495 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:753(start)
        1    0.004    0.004  102.464  102.464 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:706(launch)
        1    0.000    0.000  102.433  102.433 /home/mmr.pinto/stencilTorcMap.py:109(main)
        1    0.000    0.000  102.266  102.266 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:832(map)
        1    0.000    0.000  101.291  101.291 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:378(waitall)
        1    0.000    0.000  101.271  101.271 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:276(_do_work)
        1    0.014    0.014  101.270  101.270 /home/mmr.pinto/stencilTorcMap.py:61(stencil2DSubmited)
        1   10.640   10.640  101.256  101.256 /home/mmr.pinto/stencilTorcMap.py:12(stencilOperation)
  6250000   28.532    0.000   84.063    0.000 /home/mmr.pinto/stencilTorcMap.py:90(filter_function)
  6250000    7.716    0.000   39.255    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2177(sum)
  6250002    8.625    0.000   30.118    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
  6250002   17.269    0.000   17.269    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  6250000   14.776    0.000   14.776    0.000 {built-in method numpy.array}
        1    6.552    6.552    6.552    6.552 {method 'Gather' of 'mpi4py.MPI.Comm' objects}
  6250002    3.236    0.000    3.236    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
  6250000    1.502    0.000    1.502    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
  6250033    1.420    0.000    1.421    0.000 {built-in method builtins.isinstance}
  6250005    0.988    0.000    0.988    0.000 {method 'items' of 'dict' objects}
       16    0.001    0.000    0.975    0.061 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:157(submit)
       31    0.771    0.025    0.771    0.025 {method 'send' of 'mpi4py.MPI.Comm' objects}
       15    0.000    0.000    0.771    0.051 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:130(_send_desc_and_data)
       33    0.000    0.000    0.203    0.006 /usr/lib/python3.9/copy.py:66(copy)
       16    0.203    0.013    0.203    0.013 {method '__copy__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.163    0.163 /home/mmr.pinto/stencilTorcMap.py:95(create_2d_array)
        1    0.162    0.162    0.163    0.163 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/numeric.py:136(ones)
        3    0.056    0.019    0.056    0.019 {method 'barrier' of 'mpi4py.MPI.Comm' objects}
        1    0.000    0.000    0.031    0.031 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:670(finalize)
        3    0.000    0.000    0.020    0.007 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:344(dequeue)
        3    0.020    0.007    0.020    0.007 {built-in method time.sleep}
       16    0.004    0.000    0.004    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:147(__del__)
        4    0.000    0.000    0.001    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:1487(_array_repr_implementation)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:561(array2string)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:506(wrapper)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:523(_array2string)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:595(init)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1444(warning)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:452(_get_format_function)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1561(_log)
