Mon Feb 12 10:50:41 2024    ./profiling/output0.pstats

         56250945 function calls (56250897 primitive calls) in 102.962 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  102.962  102.962 {built-in method builtins.exec}
        1    0.006    0.006  102.962  102.962 <string>:1(<module>)
        1    0.001    0.001  102.956  102.956 /home/mmr.pinto/stencilNoTorc.py:129(main)
        1    0.014    0.014  102.501  102.501 /home/mmr.pinto/stencilNoTorc.py:60(stencil2DSubmited)
        1   10.273   10.273  101.736  101.736 /home/mmr.pinto/stencilNoTorc.py:11(stencilOperation)
  6250000   30.040    0.000   84.924    0.000 /home/mmr.pinto/stencilNoTorc.py:97(filter_function)
  6250000    7.632    0.000   38.720    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2177(sum)
  6250002    8.486    0.000   29.948    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
  6250002   16.970    0.000   16.970    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  6250000   14.760    0.000   14.760    0.000 {built-in method numpy.array}
        1    6.539    6.539    6.539    6.539 {method 'Gather' of 'mpi4py.MPI.Comm' objects}
  6250002    3.543    0.000    3.543    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
  6250000    1.405    0.000    1.405    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
  6250007    1.140    0.000    1.140    0.000 {built-in method builtins.isinstance}
  6250003    0.949    0.000    0.949    0.000 {method 'items' of 'dict' objects}
        1    0.751    0.751    0.751    0.751 {method 'scatter' of 'mpi4py.MPI.Comm' objects}
        1    0.000    0.000    0.453    0.453 /home/mmr.pinto/stencilNoTorc.py:104(create_2d_array)
        1    0.453    0.453    0.453    0.453 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/numeric.py:136(ones)
        2    0.000    0.000    0.001    0.001 {built-in method builtins.print}
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:1487(_array_repr_implementation)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:561(array2string)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:506(wrapper)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:523(_array2string)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:452(_get_format_function)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:411(<lambda>)
        1    0.000    0.000    0.001    0.001 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:907(__init__)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:934(fillFormat)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:780(_formatArray)
     43/1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:789(recurser)
        7    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       37    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:989(<genexpr>)
       36    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:1018(__call__)
      7/1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:369(_leading_trailing)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       36    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:753(_extendLine_pretty)
       37    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:984(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'Recv' of 'mpi4py.MPI.Comm' objects}
       72    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2692(max)
       42    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:739(_extendLine)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:64(_make_options_dict)
      356    0.000    0.000    0.000    0.000 {built-in method builtins.len}
